"Chinese Name","English Name","Ticker"
"空中客车","Airbus","EADSY"
"阿里巴巴","Alibaba","BABA"
"全日空","All Nippon Airways (ANA)","ALNPY"
"亚马逊","Amazon","AMZN"
"苹果","Apple","AAPL"
"应用材料","Applied Materials","AMAT"
"朝日","Asahi Group Holdings Ltd.","ASBRF"
"亚瑟士","ASICS","ASCCY"
"美国银行","Bank of America","BAC"
"伯克希尔哈撒韦公司","Berkshire Hathaway","BRK.A"
"币安","Binance","(private)"
"波音","Boeing","BA"
"桥水","Bridgewater","hedge fund"
"博通","Broadcom","AVGO"
"比亚迪","BYD","BYDDF"
"字节跳动","ByteDance","(private)"
"佳能","Canon","CAJ"
"花旗集团","Citigroup","C"
"可口可乐","Coca-Cola","K"
"第一三共","Daiichi Sankyo","DSNKY/DSKYF"
"达能","Danone","DANOY"
"电装","Denso","DNZOY"
"迪奥","Dior","CHDRY"
"迪士尼","Disney","DIS"
"诚品","Eslite","2926 (TPEX)"
"雅诗兰黛","Estee Lauder","EL"
"迅销","Fast Retailing Co. Ltd.","FRCOY"
"富达国际","Fidelity International","(private)"
"富士胶片","Fujifilm","FUJIY/FUJIF"
"富士康","FoxConn","(see Hon Hai)"
"吉利","Geely Automobile Holdings Ltd","GELYY"
"通用汽车","General Motors","GM"
"高盛","Goldman Sachs","GS"
"谷歌","Google","GOOG"
"海信集团","Hisense","(private)"
"日立","Hitachi","HTHIY"
"鸿海","Hon Hai Technology Group","HNHPF"
"本田","Honda","HMC"
"汇丰","HSBC","HSBC"
"华为","Huawei","(private)"
"英特尔","Intel","INTC"
"日本航空","Japan Airlines (JAL)","JAPSY"
"摩根大通","JPMorgan Chase","JPM"
"龟甲万","Kikkoman","KIKOY"
"麒麟控股","Kirin Holdings","KNBWY"
"小松","Komatsu","KMTUY/KMTUF"
"京瓷","Kyocera","KYOCY"
"联想","Lenovo","LNVGY/LNVGF"
"欧莱雅","L'Oreal","EPA:OR"
"瑞幸咖啡","Luckin Coffee","delisted"
"麦格理","Macquarie Group Limited","MQG.AX"
"前田工纤集团","Maeda Kosen Co., Ltd","unavailable"
"万事达卡","Mastercard","MA"
"马自达","Mazda","MZDAY"
"麦当劳","McDonald's","MCD"
"奔驰","Mercedes Benz","DDAIF"
"默克","Merck","MRK"
"美光","Micron Technology","MU"
"微软","Microsoft","MSFT"
"三菱","Mitsubishi",""
"三井化学","Mitsui Chemicals","MITUY"
"莫德纳","Moderna","MRNA"
"无印良品","MUJI","RYKKY"
"村田","Murata Manufacturing Co. Ltd","MRAAF/MRAAY"
"日本电产","Nidec","NJDCY"
"耐克","Nike","NKE"
"任天堂","Nintendo","NTDOY/NTDOF"
"日产","Nissan","NSANY"
"英伟达","Nvidia","NVDA"
"甲骨文","Oracle","ORCL"
"华侨银行","OCBC Bank","OVCHY"
"松下","Panasonic","PCRFY"
"辉瑞","Pfizer","PFE"
"宝洁","Procter & Gamble","PG"
"瑞萨电子","Renesas Electronics","RNECY"
"罗姆","ROHM","ROHCY/ROHCF"
"罗尔斯·罗伊斯","Rolls Royce","RYCEY"
"三星","Samsung","SSNLF"
"希捷","Seagate","STX"
"精工","Seiko","TYO: 8050"
"红杉资本","Sequoia Capital","Venture Capital firm"
"夏普","Sharp","SHCAY"
"希音","Shein","private"
"资生堂","Shiseido","SSDOY"
"希克斯","SIIX","Tokyo Stock Exchange"
"软银","SoftBank","SFTBF"
"索尼","SONY","SONY"
"星巴克","Starbucks","SBUX"
"斯巴鲁","Subaru","FUJHY"
"住友矿山","Sumitomo Metal Mining","SMMYY"
"蜂巢能源","Svolt Energy Technology Co","(private)"
"武田","Takeda Pharmaceutical Co. Ltd","TAK"
"腾讯","Tencent","TCEHY"
"特斯拉","Tesla","TSLA"
"拓普康","Topcon","TOPCF"
"东丽","Toray","TRYIY"
"东芝","Toshiba","TOSBF"
"东洋钢业","Toyo Steel","(private)"
"丰田","Toyota","TM"
"台积电","TSMC","TSMC"
"优衣库","Uniqlo","FRCOY (parent)"
"大众","Volkswagen","VLKAF/VWAPY"
"沃尔玛","Walmart","WMT"
"富国银行","Wells Fargo","WFC"
"小米","Xiaomi","XIACY"
"雅马哈","Yamaha","YAMHY"
"安川电机","Yaskawa Electric","YASKY"